,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T
0,2017-02-17,2017-07-21,34.7999992,TBNK,Call,1.06,0.1325,33.549999,0.4216290212183436
1,2017-02-17,2017-03-17,20.0,ARR,Call,1.7,0.02022,21.709999,0.07665982203969883
2,2017-02-17,2017-03-17,22.5,ARR,Call,0.08,0.13956,21.709999,0.07665982203969883
3,2017-02-17,2017-03-17,20.0,ARR,Put,0.2,0.32783,21.709999,0.07665982203969883
4,2017-02-17,2017-03-17,22.5,ARR,Put,0.95,0.2759,21.709999,0.07665982203969883
5,2017-02-17,2017-04-21,20.0,ARR,Call,1.25,0.02022,21.709999,0.17248459958932238
6,2017-02-17,2017-04-21,21.0,ARR,Call,0.75,0.05176,21.709999,0.17248459958932238
7,2017-02-17,2017-04-21,22.0,ARR,Call,0.3,0.10719000000000001,21.709999,0.17248459958932238
8,2017-02-17,2017-04-21,23.0,ARR,Call,0.11,0.10207999999999999,21.709999,0.17248459958932238
9,2017-02-17,2017-04-21,20.0,ARR,Put,0.15,0.25595,21.709999,0.17248459958932238
10,2017-02-17,2017-04-21,21.0,ARR,Put,0.5,0.24133000000000002,21.709999,0.17248459958932238
11,2017-02-17,2017-04-21,22.0,ARR,Put,0.83,0.21858000000000002,21.709999,0.17248459958932238
12,2017-02-17,2017-04-21,23.0,ARR,Put,1.55,0.33344,21.709999,0.17248459958932238
13,2017-02-17,2017-07-21,20.0,ARR,Call,1.6,0.1325,21.709999,0.4216290212183436
14,2017-02-17,2017-07-21,22.5,ARR,Call,0.4,0.09176000000000001,21.709999,0.4216290212183436
15,2017-02-17,2017-07-21,20.0,ARR,Put,0.55,0.28826999999999997,21.709999,0.4216290212183436
16,2017-02-17,2017-07-21,22.5,ARR,Put,1.6,0.30185,21.709999,0.4216290212183436
17,2017-02-17,2017-03-17,10.0,WMAR,Call,0.1,0.57816,9.16,0.07665982203969883
18,2017-02-17,2017-04-21,10.0,WMAR,Call,0.4,0.52147,9.16,0.17248459958932238
19,2017-02-17,2017-04-21,10.0,WMAR,Put,1.15,0.35409,9.16,0.17248459958932238
20,2017-02-17,2017-07-21,10.0,WMAR,Call,1.2,0.47939,9.16,0.4216290212183436
21,2017-02-17,2017-07-21,10.0,WMAR,Put,1.5,0.35696,9.16,0.4216290212183436
22,2017-02-17,2017-03-17,12.5,RESI,Call,1.0,0.28936,13.31,0.07665982203969883
23,2017-02-17,2017-03-17,12.5,RESI,Put,0.2,0.36816,13.31,0.07665982203969883
24,2017-02-17,2017-06-16,12.5,RESI,Call,1.2,0.21658000000000002,13.31,0.3258042436687201
25,2017-02-17,2017-06-16,12.5,RESI,Put,1.5,0.36505,13.31,0.3258042436687201
26,2017-02-17,2017-09-15,12.5,RESI,Call,1.2,0.23920999999999998,13.31,0.5749486652977412
27,2017-02-17,2017-09-15,12.5,RESI,Put,1.1,0.34271,13.31,0.5749486652977412
28,2017-02-17,2017-03-17,10.0,TEF,Call,0.2,0.17173,9.87,0.07665982203969883
29,2017-02-17,2017-03-17,10.0,TEF,Put,1.2,0.20569,9.87,0.07665982203969883
30,2017-02-17,2017-06-16,10.0,TEF,Call,0.4,0.17708,9.87,0.3258042436687201
31,2017-02-17,2017-06-16,10.0,TEF,Put,0.75,0.31690999999999997,9.87,0.3258042436687201
32,2017-02-17,2017-09-15,10.0,TEF,Call,0.6,0.15845,9.87,0.5749486652977412
