ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,IV,currentDate
"Feb 17, 2017",17.5,TBNK,Call,,,15.40,16.80,0,0,,,,,,,2017-02-17
"Feb 17, 2017",20.0,TBNK,Call,,,12.90,14.30,0,0,,,,,,,2017-02-17
"Feb 17, 2017",22.5,TBNK,Call,,,10.40,11.80,0,0,,,,,,,2017-02-17
"Feb 17, 2017",25.0,TBNK,Call,,,7.90,9.30,0,0,,,,,,,2017-02-17
"Feb 17, 2017",30.0,TBNK,Call,,,2.90,4.30,0,0,,,,,,,2017-02-17
"Feb 17, 2017",35.0,TBNK,Call,,,,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.1325,2017-02-17
"Feb 17, 2017",40.0,TBNK,Call,,,,0.25,0,0,,,,,,,2017-02-17
"Feb 17, 2017",45.0,TBNK,Call,,,,0.20,0,0,,,,,,,2017-02-17
"Feb 17, 2017",17.5,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Feb 17, 2017",20.0,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Feb 17, 2017",22.5,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Feb 17, 2017",25.0,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Feb 17, 2017",30.0,TBNK,Put,,,,0.25,0,0,,,,,,,2017-02-17
"Feb 17, 2017",35.0,TBNK,Put,,,0.75,2.10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-17
"Feb 17, 2017",40.0,TBNK,Put,,,5.70,7.10,0,0,,,,,,,2017-02-17
"Feb 17, 2017",45.0,TBNK,Put,,,10.70,12.10,0,0,,,,,,,2017-02-17
"Mar 17, 2017",17.5,TBNK,Call,,,15.30,16.90,0,0,,,,,,,2017-02-17
"Mar 17, 2017",20.0,TBNK,Call,,,12.80,14.40,0,0,,,,,,,2017-02-17
"Mar 17, 2017",22.5,TBNK,Call,,,10.30,11.90,0,0,,,,,,,2017-02-17
"Mar 17, 2017",25.0,TBNK,Call,,,7.80,9.40,0,0,,,,,,,2017-02-17
"Mar 17, 2017",30.0,TBNK,Call,,,2.90,4.40,0,0,,,,,,,2017-02-17
"Mar 17, 2017",35.0,TBNK,Call,,,,0.30,0,0,0.17021,0.19074,0.00433,-0.00763,0.02692,0.1325,2017-02-17
"Mar 17, 2017",40.0,TBNK,Call,,,,0.65,0,0,,,,,,,2017-02-17
"Mar 17, 2017",45.0,TBNK,Call,,,,0.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",17.5,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",20.0,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",22.5,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",25.0,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",30.0,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",35.0,TBNK,Put,,,1.00,2.25,0,0,-0.77645,0.18953,-0.0116,-0.00832,0.02544,0.0,2017-02-17
"Mar 17, 2017",40.0,TBNK,Put,,,5.70,7.20,0,0,,,,,,,2017-02-17
"Mar 17, 2017",45.0,TBNK,Put,,,10.70,12.20,0,0,,,,,,,2017-02-17
"Apr 21, 2017",14.8000001,TBNK,Call,,,18.00,19.60,0,0,,,,,,,2017-02-17
"Apr 21, 2017",17.2999992,TBNK,Call,,,15.50,17.10,0,0,,,,,,,2017-02-17
"Apr 21, 2017",19.7999992,TBNK,Call,,,13.00,14.60,0,0,,,,,,,2017-02-17
"Apr 21, 2017",22.2999992,TBNK,Call,,,10.50,12.10,0,0,,,,,,,2017-02-17
"Apr 21, 2017",24.7999992,TBNK,Call,,,8.00,9.60,0,0,,,,,,,2017-02-17
"Apr 21, 2017",29.7999992,TBNK,Call,,,3.10,4.70,0,0,,,,,,,2017-02-17
"Apr 21, 2017",34.7999992,TBNK,Call,,,,0.65,0,0,0.30107,0.20684,0.01714,-0.00729,0.04017,0.05176,2017-02-17
"Apr 21, 2017",39.7999992,TBNK,Call,,,,0.75,0,0,,,,,,,2017-02-17
"Apr 21, 2017",14.8000001,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Apr 21, 2017",17.2999992,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Apr 21, 2017",19.7999992,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Apr 21, 2017",22.2999992,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Apr 21, 2017",24.7999992,TBNK,Put,,,,0.20,0,0,,,,,,,2017-02-17
"Apr 21, 2017",29.7999992,TBNK,Put,,,,0.30,0,0,,,,,,,2017-02-17
"Apr 21, 2017",34.7999992,TBNK,Put,2.65,,1.00,2.35,0,0,-0.66966,0.17241,-0.02554,-0.0058,0.05417,0.0,2017-02-17
"Apr 21, 2017",39.7999992,TBNK,Put,,,5.50,7.00,0,0,,,,,,,2017-02-17
"Jul 21, 2017",17.2999992,TBNK,Call,,,15.40,17.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",19.7999992,TBNK,Call,,,12.90,14.80,0,0,,,,,,,2017-02-17
"Jul 21, 2017",22.2999992,TBNK,Call,,,10.40,12.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",24.7999992,TBNK,Call,,,7.90,9.80,0,0,,,,,,,2017-02-17
"Jul 21, 2017",29.7999992,TBNK,Call,3.60,,3.40,4.50,0,0,,,,,,,2017-02-17
"Jul 21, 2017",34.7999992,TBNK,Call,1.06,,,1.70,0,4,0.40235,0.19751,0.0561,-0.00504,0.09735,0.1325,2017-02-17
"Jul 21, 2017",39.7999992,TBNK,Call,,,,0.35,0,0,,,,,,,2017-02-17
"Jul 21, 2017",44.7999992,TBNK,Call,,,,0.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",17.2999992,TBNK,Put,,,,0.25,0,0,,,,,,,2017-02-17
"Jul 21, 2017",19.7999992,TBNK,Put,,,,0.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",22.2999992,TBNK,Put,,,,0.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",24.7999992,TBNK,Put,,,,0.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",29.7999992,TBNK,Put,0.80,,0.20,0.65,0,6,,,,,,,2017-02-17
"Jul 21, 2017",34.7999992,TBNK,Put,,,1.35,3.10,0,0,-0.54885,0.09467,-0.05773,-0.00485,0.08594,0.0,2017-02-17
"Jul 21, 2017",39.7999992,TBNK,Put,,,5.40,7.30,0,0,,,,,,,2017-02-17
"Jul 21, 2017",44.7999992,TBNK,Put,,,10.40,12.30,0,0,,,,,,,2017-02-17
"Feb 17, 2017",12.5,ARR,Call,,,7.20,11.60,0,0,,,,,,,2017-02-17
"Feb 17, 2017",15.0,ARR,Call,,,6.00,7.60,0,0,,,,,,,2017-02-17
