,log_accuracy_sigma=0.30,log_accuracy_sigma=0.50,log_accuracy_sigma=0.70,log_accuracy_sigma=1.00,log_accuracy_sigma=1.50,log_accuracy_sigma=1.70,log_accuracy_sigma=2.00,MSE_sigma=0.30,MSE_sigma=0.50,MSE_sigma=0.70,MSE_sigma=1.00,MSE_sigma=1.50,MSE_sigma=1.70,MSE_sigma=2.00,running_time_sigma=0.30,running_time_sigma=0.50,running_time_sigma=0.70,running_time_sigma=1.00,running_time_sigma=1.50,running_time_sigma=1.70,running_time_sigma=2.00
brentq,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,4.306460343467234,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,0.001001016796287529,5.396,5.795,5.123,5.731,5.748,5.219,6.043
brenth,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,4.306460343471891,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,0.0010010167962874084,5.455,5.419,5.238,5.499,5.505,4.955,5.637
ridder,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,4.306460342298231,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,0.0010010167962864853,7.114,7.244,7.233,7.316,7.703,7.097,8.261
scipy_newton,4.149978135566941,4.112759479257583,4.125533719457488,4.139350705548601,4.12278412618215,4.179527366559454,4.116274658982175,5.853247377116864e+17,7.042729502119726e+23,7.79877078636779e+37,1.4037381741836229e+19,7.815299266996094e+26,8.810856668215297e+31,6.6867160464097485e+19,3.029,3.068,3.083,3.346,3.523,3.286,4.074
bisection,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,4.306460305379525,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,0.0010010167960230756,45.901,46.035,46.38,45.936,45.397,59.729,46.565
mullerBisection,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,4.306461131379914,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,0.0010010166019603628,32.53,33.461,33.679,31.16,34.256,31.618,32.76
newton,4.074877684482098,4.119030691225851,4.197569512819,4.12667766331088,4.071597282452214,3.5338603547217553,3.3718200388028228,5.824653332238221e+198,5.814824864862069e+111,2.0593467627544854e+42,1.5542096141860772e+181,6.796053894428528e+19,6.539919000523992e+303,1.3430179396097261e+47,4.097,4.068,4.24,3.774,3.639,3.682,3.122
halley,4.226468008707953,3.93285608816185,3.773501919924625,3.6445663425013977,3.5618835533742286,3.4093294972753716,3.135998855519508,0.0008426004382085496,0.0010420602571758635,0.001676530223830387,0.00281198220430049,0.004907489477996447,0.005869081382694721,0.007530541118236142,2.206,2.172,2.199,2.049,2.264,2.322,2.232
new_newton,4.280173906520588,4.280173906520588,4.280173906520588,4.280173906520588,4.280173906520588,4.280173906520588,4.280173906520588,7718624.2117842985,7718624.2117842985,7718624.2117842985,7718624.2117842985,7718624.2117842985,7718624.2117842985,7718624.2117842985,12.547,11.59,12.338,11.788,12.769,13.645,12.617
new_halley,4.243327514394208,4.243327514394208,4.243327514394208,4.243327514394208,4.243327514394208,4.243327514394208,4.243327514394208,2485945.880362225,2485945.880362225,2485945.880362225,2485945.880362225,2485945.880362225,2485945.880362225,2485945.880362225,11.021,10.442,11.458,11.415,10.945,11.505,11.848
