ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,IV,currentDate,YTM
21-Jul-17,34.7999992,TBNK,Call,1.06,,,1.7,0,4,0.40235,0.19751,0.0561,-0.00504,0.09735,0.1325,2/17/17,154
17-Feb-17,20,ARR,Call,1.65,,1.45,2.5,0,0,1,0,0,-0.00306,0,0.1325,2/17/17,0
17-Feb-17,22.5,ARR,Call,0.06,,,0.05,0,786,0,0,0,0,0,0.50777,2/17/17,0
17-Feb-17,20,ARR,Put,0.08,,,0.05,0,81,0,0,0,0,0,1.78007,2/17/17,0
17-Feb-17,22.5,ARR,Put,0.9,,0.25,1.05,0,38,0,0,0,0,0,0.68446,2/17/17,0
17-Mar-17,20,ARR,Call,1.7,,1.5,2.65,0,10,0.81071,0.12369,0.01193,-0.01509,0.01449,0.02022,2/17/17,28
17-Mar-17,22.5,ARR,Call,0.08,-0.01,,0.15,216,191,0.2118,0.35484,0.00349,-0.00552,0.0172,0.13956,2/17/17,28
17-Mar-17,20,ARR,Put,0.2,,,0.1,0,109,-0.14608,0.12701,-0.00233,-0.00799,0.01428,0.32783,2/17/17,28
17-Mar-17,22.5,ARR,Put,0.95,-0.35,0.65,1.25,1,9,-0.69794,0.28368,-0.00832,-0.00832,0.02372,0.2759,2/17/17,28
21-Apr-17,20,ARR,Call,1.25,,1.55,2.4,0,0,0.91245,0.10714,0.03085,-0.00493,0.01934,0.02022,2/17/17,63
21-Apr-17,21,ARR,Call,0.75,,0.8,1.25,0,35,0.8338,0.26919,0.02967,-0.00487,0.01971,0.05176,2/17/17,63
21-Apr-17,22,ARR,Call,0.3,-0.2,0.1,0.4,40,659,0.45441,0.55431,0.01692,-0.00408,0.0373,0.10719,2/17/17,63
21-Apr-17,23,ARR,Call,0.11,,0.05,0.15,0,500,0.14436,0.23066,0.00542,-0.00258,0.02904,0.10208,2/17/17,63
21-Apr-17,20,ARR,Put,0.15,-0.05,0.05,0.2,3,251,-0.12236,0.11984,-0.0043,-0.00275,0.01999,0.25595,2/17/17,63
21-Apr-17,21,ARR,Put,0.5,,0.25,0.5,0,151,-0.30167,0.20068,-0.01004,-0.0048,0.03292,0.24133,2/17/17,63
21-Apr-17,22,ARR,Put,0.83,-0.02,0.65,1,1,166,-0.52709,0.26444,-0.01502,-0.00457,0.03551,0.21858,2/17/17,63
21-Apr-17,23,ARR,Put,1.55,0.05,1.4,1.85,2,145,-0.68386,0.17777,-0.0176,-0.0059,0.03575,0.33344,2/17/17,63
21-Jul-17,20,ARR,Call,1.6,,1.75,2.25,0,52,1,0,0.0824,-0.003,0,0.1325,2/17/17,154
21-Jul-17,22.5,ARR,Call,0.4,-0.07,0.3,0.45,41,452,0.40237,0.33452,0.03658,-0.00313,0.06382,0.09176,2/17/17,154
21-Jul-17,20,ARR,Put,0.55,-0.2,0.45,0.7,4,95,-0.23545,0.09862,-0.0192,-0.00313,0.04823,0.28827,2/17/17,154
21-Jul-17,22.5,ARR,Put,1.6,-0.45,1.6,2.1,6,96,-0.51918,0.11344,-0.03779,-0.00423,0.05573,0.30185,2/17/17,154
17-Mar-17,10,WMAR,Call,0.1,,,0.3,1,0,0.24102,0.31876,0.00159,-0.00681,0.00703,0.57816,2/17/17,28
21-Apr-17,10,WMAR,Call,0.4,,0.2,0.4,0,473,0.3553,0.24023,0.00502,-0.00587,0.0157,0.52147,2/17/17,63
21-Apr-17,10,WMAR,Put,1.15,,1,1.2,0,48,-0.67066,0.2634,-0.00866,-0.00424,0.01527,0.35409,2/17/17,63
21-Jul-17,10,WMAR,Call,1.2,,0.5,0.7,0,59,0.43661,0.18414,0.01427,-0.00367,0.02443,0.47939,2/17/17,154
21-Jul-17,10,WMAR,Put,1.5,,1.3,1.5,0,181,-0.5593,0.17161,-0.01945,-0.00283,0.02418,0.35696,2/17/17,154
17-Feb-17,12.5,RESI,Call,0.84,,0.45,0.95,0,0,1,0,0,-0.00191,0,1.4196,2/17/17,0
17-Mar-17,12.5,RESI,Call,1,-0.1,0.8,1.1,20,3376,0.83341,0.27623,0.00779,-0.00625,0.00879,0.28936,2/17/17,28
17-Mar-17,12.5,RESI,Put,0.2,,0.1,0.35,0,1739,-0.25086,0.23728,-0.00225,-0.00898,0.01356,0.36816,2/17/17,28
16-Jun-17,12.5,RESI,Call,1.2,0.2,1.1,1.4,2,3801,0.73514,0.18291,0.02763,-0.00418,0.02675,0.21658,2/17/17,119
16-Jun-17,12.5,RESI,Put,1.5,,0.55,0.75,0,15,-0.32831,0.13139,-0.01415,-0.00429,0.02763,0.36505,2/17/17,119
15-Sep-17,12.5,RESI,Call,1.2,,1.4,1.65,0,44,0.73445,0.15565,0.04755,-0.00318,0.03453,0.23921,2/17/17,210
15-Sep-17,12.5,RESI,Put,1.1,,0.8,1.1,0,31,-0.32881,0.11339,-0.02462,-0.00267,0.03619,0.34271,2/17/17,210
17-Feb-17,10,TEF,Call,0.1,,,0.2,0,114,0.07622,1,0,-0.90732,0,0.88485,2/17/17,0
17-Feb-17,10,TEF,Put,0.2,,,0.45,0,10,-0.92381,1,0,-0.90587,0,0.31899,2/17/17,0
17-Mar-17,10,TEF,Call,0.2,0.05,0.1,0.2,22,453,0.42641,0.86771,0.00313,-0.00429,0.01089,0.17173,2/17/17,28
17-Mar-17,10,TEF,Put,1.2,,0.25,0.4,0,23,-0.56308,0.70552,-0.00337,-0.00405,0.0108,0.20569,2/17/17,28
16-Jun-17,10,TEF,Call,0.4,0.05,0.35,0.5,10,766,0.52945,0.41509,0.01583,-0.00267,0.02205,0.17708,2/17/17,119
16-Jun-17,10,TEF,Put,0.75,0.05,0.65,0.8,31,284,-0.47595,0.2541,-0.01239,-0.00274,0.02194,0.31691,2/17/17,119
15-Sep-17,10,TEF,Call,0.6,0.05,0.55,0.65,242,1861,0.57018,0.32926,0.02941,-0.00214,0.02881,0.15845,2/17/17,210
15-Sep-17,10,TEF,Put,1.1,,0.8,0.95,0,10,-0.45401,0.20264,-0.02113,-0.00182,0.02879,0.2968,2/17/17,210
17-Feb-17,160,MSG,Call,15.59,,12.8,17,0,15,1,0,3.00E-05,-0.0245,0,0.01017,2/17/17,0
17-Feb-17,170,MSG,Call,6.87,,3.5,7.5,0,30,1,0,3.00E-05,-0.02603,0,0.03235,2/17/17,0
17-Feb-17,175,MSG,Call,0.09,-1.53,,0.7,40,17,0.65959,0.73132,2.00E-05,-15.46006,0.00296,0.02022,2/17/17,0
17-Feb-17,180,MSG,Call,0.3,0.02,,0.1,2,112,0,0,0,0,0,0.21798,2/17/17,0
17-Feb-17,185,MSG,Call,0.1,,,0.25,0,162,0,0,0,0,0,0.52126,2/17/17,0
17-Feb-17,190,MSG,Call,0.45,,,0.7,0,23,0,0,0,0,0,0.85357,2/17/17,0
17-Feb-17,160,MSG,Put,0.12,,,0.7,0,63,0,0,0,0,0,1.21656,2/17/17,0
17-Feb-17,165,MSG,Put,0.35,,,0.25,0,253,0,0,0,0,0,1.04454,2/17/17,0
17-Feb-17,170,MSG,Put,0.15,,,0.7,1,82,0,0,0,0,0,0.68904,2/17/17,0
17-Feb-17,175,MSG,Put,0.2,,,0.25,0,4,-0.42742,0.35467,-1.00E-05,-37.26532,0,0.35764,2/17/17,0
17-Feb-17,180,MSG,Put,3.1,-1.4,2.5,6.7,1,97,0,0,0,0,0,0.16398,2/17/17,0
17-Feb-17,185,MSG,Put,10.8,,8,12.2,0,1,0,0,0,0,0,0.9225,2/17/17,0
17-Feb-17,190,MSG,Put,14.87,,12.5,16.3,0,1,0,0,0,0,0,1.26369,2/17/17,0
17-Mar-17,170,MSG,Call,8.2,,6,7.1,0,1,0.84915,0.04133,0.10942,-0.04925,0.11142,0.17913,2/17/17,28
17-Mar-17,175,MSG,Call,2.84,-1.28,2.85,3.6,9,31,0.55521,0.05817,0.07243,-0.0754,0.18696,0.16835,2/17/17,28
17-Mar-17,180,MSG,Call,1.2,-1.5,1.05,1.6,12,347,0.3181,0.04425,0.04171,-0.07088,0.19852,0.16687,2/17/17,28
17-Mar-17,185,MSG,Call,0.54,,0.35,0.65,0,16,0.17113,0.02808,0.02253,-0.05079,0.13848,0.15875,2/17/17,28
17-Mar-17,190,MSG,Call,0.2,,,0.25,0,12,0.07556,0.01529,0.01001,-0.02875,0.06198,0.16843,2/17/17,28
17-Mar-17,160,MSG,Put,0.23,0.03,0.15,0.35,20,616,-0.07222,0.01205,-0.00948,-0.03281,0.05772,0.24997,2/17/17,28
17-Mar-17,165,MSG,Put,0.55,0.1,0.35,0.65,42,784,-0.135,0.02151,-0.01696,-0.04137,0.11406,0.2183,2/17/17,28
17-Mar-17,170,MSG,Put,1.53,0.59,1.1,1.55,12,35,-0.24568,0.03761,-0.0279,-0.05317,0.17754,0.16965,2/17/17,28
17-Mar-17,175,MSG,Put,2.6,,2.7,3.4,0,50,-0.46249,0.0501,-0.04865,-0.06377,0.18747,0.16619,2/17/17,28
17-Mar-17,180,MSG,Put,6.45,-0.25,5.5,6.6,2,1,-0.6687,0.04077,-0.06585,-0.05941,0.1905,0.1838,2/17/17,28
19-May-17,160,MSG,Call,12.6,,16.7,17.9,0,100,0.99192,0.00289,0.3899,-0.0251,0.03543,0.05176,2/17/17,91
19-May-17,165,MSG,Call,14.9,,12.7,13.8,0,6,0.83247,0.01918,0.33092,-0.04225,0.1925,0.14179,2/17/17,91
19-May-17,170,MSG,Call,10.5,,9.2,10.1,0,103,0.74331,0.0279,0.3034,-0.0425,0.30381,0.13852,2/17/17,91
19-May-17,175,MSG,Call,8.5,,6.4,7.2,0,52,0.58714,0.03293,0.24329,-0.04731,0.33218,0.13595,2/17/17,91
19-May-17,180,MSG,Call,4.7,,4.1,4.7,0,80,0.43534,0.03055,0.18188,-0.04324,0.35805,0.14608,2/17/17,91
19-May-17,185,MSG,Call,3.1,,2.5,3.1,0,15,0.28437,0.02844,0.12102,-0.03397,0.25925,0.1844,2/17/17,91
19-May-17,190,MSG,Call,1.95,,1.4,1.75,0,3,0.20018,0.02046,0.08512,-0.02884,0.27076,0.16969,2/17/17,91
