,cDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
3,2016-11-15,2017-03-17,7.5,SVVC,Call,0.5,0.1489,7.86,0.33401779603011633,0.15520760025538136,-0.0063076002553813515
12,2016-11-15,2016-12-16,12.0,CSIQ,Call,0.78,0.66746,11.73,0.08487337440109514,0.6583923308789972,0.009067669121002875
19,2016-11-15,2016-12-23,13.0,CSIQ,Call,0.39,0.5572600000000001,11.73,0.10403832991101986,0.5552871403779145,0.0019728596220855987
36,2016-11-15,2016-12-30,11.5,CSIQ,Put,0.82,0.57026,11.73,0.12320328542094455,0.5752773670974429,-0.005017367097442937
40,2016-11-15,2017-01-06,13.5,CSIQ,Call,0.42,0.5695899999999999,11.73,0.14236824093086928,0.5707137061835974,-0.0011237061835974727
46,2016-11-15,2017-01-06,11.5,CSIQ,Put,0.9,0.58631,11.73,0.14236824093086928,0.5817251676489841,0.004584832351015922
139,2016-11-15,2017-01-20,12.5,CAFD,Put,0.55,0.37808,13.09,0.1806981519507187,0.37652721010090406,0.0015527898990959632
143,2016-11-15,2017-06-16,12.5,CAFD,Put,1.35,0.41981999999999997,13.09,0.5831622176591376,0.42434902024979326,-0.004529020249793292
152,2016-11-15,2017-03-17,15.0,AVHI,Call,2.7,0.39675,17.049999,0.33401779603011633,0.38848048825457315,0.008269511745426839
164,2016-11-15,2017-01-20,30.0,AAON,Call,2.88,0.27837,32.299999,0.1806981519507187,0.2699822051363308,0.008387794863669196
166,2016-11-15,2017-01-20,30.0,AAON,Put,0.65,0.29203,32.299999,0.1806981519507187,0.2924053117021695,-0.0003753117021694785
177,2016-11-15,2017-02-17,50.0,ABAX,Call,5.12,0.32249,52.990002000000004,0.25735797399041754,0.32452876614115755,-0.0020387661411575553
193,2016-11-15,2017-01-20,110.0,ABMD,Put,2.35,0.1712,111.589996,0.1806981519507187,0.1662833384034466,0.004916661596553379
197,2016-11-15,2017-03-17,110.0,ABMD,Call,14.3,0.5343100000000001,111.589996,0.33401779603011633,0.526813475662494,0.0074965243375060275
210,2016-11-15,2017-06-16,115.0,ABMD,Put,13.2,0.33339,111.589996,0.5831622176591376,0.33745934728358495,-0.004069347283584934
234,2016-11-15,2017-05-19,65.0,ACIA,Put,10.3,0.75739,74.860001,0.5065023956194388,0.7552671631128769,0.002122836887123114
243,2016-11-15,2019-01-18,65.0,ACIA,Put,21.88,0.6889,74.860001,2.1738535249828885,0.6848734874074589,0.004026512592541054
244,2016-11-15,2019-01-18,70.0,ACIA,Put,25.14,0.6914899999999999,74.860001,2.1738535249828885,0.6857925412623453,0.005697458737654593
264,2016-11-15,2017-06-16,35.0,ACHC,Call,6.1,0.38822,38.220001,0.5831622176591376,0.3816913461923841,0.006528653807615914
333,2016-11-15,2017-01-20,29.0,ACAD,Put,5.0,0.9797299999999999,28.469998999999998,0.1806981519507187,0.9810214816388914,-0.0012914816388914785
349,2016-11-15,2017-06-16,29.0,ACAD,Call,6.1,0.72846,28.469998999999998,0.5831622176591376,0.7324876606435291,-0.004027660643529107
350,2016-11-15,2017-06-16,25.0,ACAD,Put,4.3,0.7326600000000001,28.469998999999998,0.5831622176591376,0.7363920078933015,-0.0037320078933014145
379,2016-11-15,2017-06-16,5.0,ARAY,Call,1.0,0.49568999999999996,5.4,0.5831622176591376,0.4931441280496083,0.002545871950391687
434,2016-11-15,2017-04-21,20.0,ACOR,Put,4.0,0.84621,20.85,0.42984257357973993,0.8411832812271323,0.005026718772867755
508,2016-11-15,2016-12-09,38.0,ATVI,Put,1.2,0.37373,38.529999,0.06570841889117043,0.3720799550501406,0.0016500449498594305
596,2016-11-15,2017-01-20,34.0,ATVI,Put,0.46,0.32656999999999997,38.529999,0.1806981519507187,0.31739814447064507,0.0091718555293549
598,2016-11-15,2017-01-20,36.0,ATVI,Put,0.95,0.31995999999999997,38.529999,0.1806981519507187,0.3125448390346728,0.007415160965327183
599,2016-11-15,2017-01-20,37.0,ATVI,Put,1.36,0.3229,38.529999,0.1806981519507187,0.3201272618753146,0.0027727381246854255
605,2016-11-15,2017-01-27,39.0,ATVI,Put,2.62,0.3483,38.529999,0.1998631074606434,0.3474153222487084,0.0008846777512915849
615,2016-11-15,2017-02-17,35.0,ATVI,Put,1.23,0.34788,38.529999,0.25735797399041754,0.3559982425213102,-0.00811824252131016
