,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
2,2017-02-17,2017-03-17,22.5,ARR,Call,0.08,0.13956,21.709999,0.07665982203969883,0.13742823772190704,0.002131762278092947
3,2017-02-17,2017-03-17,20.0,ARR,Put,0.2,0.32783,21.709999,0.07665982203969883,0.3362799110618663,-0.008449911061866267
6,2017-02-17,2017-04-21,21.0,ARR,Call,0.75,0.05176,21.709999,0.17248459958932238,0.060732113270206445,-0.008972113270206444
7,2017-02-17,2017-04-21,22.0,ARR,Call,0.3,0.10719000000000001,21.709999,0.17248459958932238,0.11652977926132835,-0.00933977926132834
43,2017-02-17,2017-03-17,180.0,MSG,Put,6.45,0.1838,175.300003,0.07665982203969883,0.18761919513053826,-0.003819195130538272
49,2017-02-17,2017-05-19,185.0,MSG,Call,3.1,0.1844,175.300003,0.24914442162902123,0.1901704178453666,-0.005770417845366582
53,2017-02-17,2017-05-19,170.0,MSG,Put,4.2,0.18729,175.300003,0.24914442162902123,0.19196258836018487,-0.0046725883601848595
54,2017-02-17,2017-05-19,175.0,MSG,Put,6.4,0.18516,175.300003,0.24914442162902123,0.19102260608633614,-0.005862606086336153
64,2017-02-17,2017-08-18,170.0,MSG,Put,7.2,0.19569,175.300003,0.49828884325804246,0.20192984746245302,-0.006239847462453013
68,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201,0.34859072788094736,-0.007270727880947403
69,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412,0.34380567994958355,-0.002585679949583586
80,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883,0.5571902334486377,0.005929766551362237
87,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201,0.4798959833715354,0.00486401662846464
88,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201,0.46648352545162297,-0.008563525451622978
101,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436,0.42427243090060174,-0.006622430900601717
