,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
315,2017-02-17,2017-02-24,40.0,ACAD,Call,1.0,0.6057899999999999,39.279999,0.019164955509924708,0.6065725123770395,-0.0007825123770395237
411,2017-02-17,2017-07-21,26.0,ACOR,Call,5.7,0.9210799999999999,25.299999,0.4216290212183436,0.9200963767224705,0.000983623277529433
424,2017-02-17,2017-02-24,45.5,ATVI,Call,0.33,0.16326,45.330002,0.019164955509924708,0.16246719320628278,0.0007928067937172101
426,2017-02-17,2017-02-24,46.5,ATVI,Call,0.09,0.17819000000000002,45.330002,0.019164955509924708,0.17870709541175422,-0.0005170954117542093
440,2017-02-17,2017-02-24,45.0,ATVI,Put,0.29,0.1754,45.330002,0.019164955509924708,0.17518953975941556,0.0002104602405844369
485,2017-02-17,2017-03-17,46.0,ATVI,Call,0.7,0.19643,45.330002,0.07665982203969883,0.19678296568200518,-0.0003529656820051852
571,2017-02-17,2017-05-19,49.0,ATVI,Put,4.9,0.28968,45.330002,0.24914442162902123,0.29057306742557965,-0.0008930674255796522
653,2017-02-17,2018-01-19,115.0,ADBE,Put,8.75,0.24961999999999998,119.66999799999999,0.919917864476386,0.24969530519969463,-7.530519969464744e-05
655,2017-02-17,2018-01-19,125.0,ADBE,Put,14.1,0.24769000000000002,119.66999799999999,0.919917864476386,0.2482943569744802,-0.0006043569744801913
691,2017-02-17,2017-03-17,65.0,AEIS,Put,3.83,0.22311,61.560001,0.07665982203969883,0.22387052787855918,-0.0007605278785591807
693,2017-02-17,2017-04-21,65.0,AEIS,Call,1.45,0.26976999999999995,61.560001,0.17248459958932238,0.2698120085491361,-4.2008549136163253e-05
848,2017-02-17,2017-06-16,19.0,AGNC,Put,0.72,0.21871999999999997,19.49,0.3258042436687201,0.218938392435543,-0.00021839243554303
895,2017-02-17,2017-02-24,64.0,AKAM,Call,0.17,0.20385,62.34,0.019164955509924708,0.2038266990135201,2.3300986479901642e-05
898,2017-02-17,2017-02-24,65.5,AKAM,Call,0.03,0.20415999999999998,62.34,0.019164955509924708,0.2048211349520648,-0.0006611349520648235
968,2017-02-17,2017-03-24,66.0,AKAM,Call,0.43,0.20856999999999998,62.34,0.09582477754962354,0.20780428257015474,0.0007657174298452418
993,2017-02-17,2017-03-10,57.5,AKAM,Put,0.17,0.25943,62.34,0.057494866529774126,0.26020054431656836,-0.0007705443165683667
1000,2017-02-17,2017-03-10,61.5,AKAM,Put,0.86,0.21024,62.34,0.057494866529774126,0.20974017225559802,0.0004998277444019927
1020,2017-02-17,2017-03-24,60.0,AKAM,Put,0.8,0.22921999999999998,62.34,0.09582477754962354,0.22952817875662723,-0.00030817875662725314
1089,2017-02-17,2018-01-19,20.0,AKRX,Put,3.2,0.51653,21.780001000000002,0.919917864476386,0.5155394050791956,0.000990594920804444
1231,2017-02-17,2017-05-19,130.0,ALXN,Call,8.0,0.33039,128.820007,0.24914442162902123,0.3304069292213796,-1.6929221379580195e-05
1234,2017-02-17,2017-05-19,120.0,ALXN,Put,6.0,0.3989,128.820007,0.24914442162902123,0.39831173233551415,0.0005882676644858309
1258,2017-02-17,2019-01-18,120.0,ALXN,Call,24.0,0.27424,128.820007,1.9164955509924708,0.27364781629886764,0.0005921837011323428
1443,2017-02-17,2017-02-24,842.5,GOOG,Call,0.51,0.09636,828.070007,0.019164955509924708,0.09583804656651103,0.0005219534334889725
1474,2017-02-17,2017-02-24,795.0,GOOG,Put,0.25,0.1634,828.070007,0.019164955509924708,0.16246815487037666,0.0009318451296233266
1484,2017-02-17,2017-02-24,820.0,GOOG,Put,2.13,0.11406,828.070007,0.019164955509924708,0.11480132143745106,-0.0007413214374510646
1563,2017-02-17,2017-03-10,847.5,GOOG,Call,2.7,0.11667999999999999,828.070007,0.057494866529774126,0.11624159809887631,0.0004384019011236806
1572,2017-02-17,2017-03-10,890.0,GOOG,Call,0.35,0.15795,828.070007,0.057494866529774126,0.1570306556470777,0.0009193443529223189
1653,2017-02-17,2017-03-03,822.5,GOOG,Put,5.96,0.13214,828.070007,0.038329911019849415,0.13218165814015154,-4.1658140151529244e-05
1677,2017-02-17,2017-03-10,785.0,GOOG,Put,1.25,0.16372,828.070007,0.057494866529774126,0.16389758551221226,-0.00017758551221225272
1682,2017-02-17,2017-03-10,797.5,GOOG,Put,1.97,0.14529,828.070007,0.057494866529774126,0.14485365052539304,0.0004363494746069674
1705,2017-02-17,2017-03-17,805.0,GOOG,Put,4.62,0.14627,828.070007,0.07665982203969883,0.1456152558258494,0.0006547441741506232
