seq,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
0,2/17/17,3/17/17,95,GK,Put,0.8,0.04557,94.489998,0.076659822,0.050641515,-0.005071515
1,2/17/17,4/21/17,21,ARR,Call,0.75,0.05176,21.709999,0.1724846,0.060732113,-0.008972113
2,2/17/17,6/16/17,100,GK,Call,0.08,0.05208,94.489998,0.325804244,0.060652992,-0.008572992
3,2/17/17,7/21/17,65,CYNO,Put,0.45,0.0608,66.25,0.421629021,0.058490554,0.002309446
4,2/17/17,3/17/17,24,FV,Call,0.35,0.06596,24.26,0.076659822,0.069458676,-0.003498676
5,2/17/17,4/21/17,65,CYNO,Put,0.3,0.07098,66.25,0.1724846,0.072367788,-0.001387788
6,2/17/17,4/21/17,45,CLCD,Put,0.1,0.07193,46.400002,0.1724846,0.071381304,0.000548696
7,2/17/17,3/24/17,119,TLT,Call,1.95,0.08252,120.32,0.095824778,0.076529911,0.005990089
8,2/17/17,9/15/17,95,GK,Call,2.43,0.08281,94.489998,0.574948665,0.089009633,-0.006199633
9,2/17/17,8/18/17,30,BUSE,Call,1.4,0.08406,31.059999,0.498288843,0.080272186,0.003787814
10,2/17/17,3/3/17,33,CSCO,Call,0.77,0.08481,33.740002,0.038329911,0.085637228,-0.000827228
11,2/17/17,1/18/19,75,ADI,Call,9.2,0.08506,82.480003,1.916495551,0.087129318,-0.002069318
12,2/17/17,3/10/17,118,TLT,Call,2.52,0.08514,120.32,0.057494867,0.077929331,0.007210669
13,2/17/17,2/24/17,820,GOOG,Call,9.5,0.0874,828.070007,0.019164956,0.093087449,-0.005687449
14,2/17/17,2/24/17,845,GOOGL,Call,5.1,0.0879,846.549988,0.019164956,0.090661046,-0.002761046
15,2/17/17,2/24/17,835,GOOGL,Call,12.2,0.0884,846.549988,0.019164956,0.084422429,0.003977571
16,2/17/17,2/24/17,857.5,GOOGL,Call,0.97,0.08879,846.549988,0.019164956,0.094378828,-0.005588828
17,2/17/17,2/24/17,33.5,CSCO,Call,0.31,0.09045,33.740002,0.019164956,0.086074224,0.004375776
18,2/17/17,4/21/17,119,TLT,Call,2.75,0.09319,120.32,0.1724846,0.098758766,-0.005568766
19,2/17/17,3/3/17,120,TLT,Call,1.17,0.09603,120.32,0.038329911,0.105397331,-0.009367331
20,2/17/17,2/24/17,34,CSCO,Call,0.08,0.09617,33.740002,0.019164956,0.096226069,-5.61E-05
21,2/17/17,2/24/17,842.5,GOOG,Call,0.51,0.09636,828.070007,0.019164956,0.095838047,0.000521953
22,2/17/17,6/16/17,21,AGNC,Call,0.07,0.09882,19.49,0.325804244,0.107027738,-0.008207738
23,2/17/17,2/24/17,840,GOOGL,Call,8.31,0.09887,846.549988,0.019164956,0.089879187,0.008990813
24,2/17/17,3/3/17,122,TLT,Call,0.38,0.0993,120.32,0.038329911,0.105361671,-0.006061671
25,2/17/17,3/10/17,120,TLT,Call,1.39,0.09946,120.32,0.057494867,0.104805074,-0.005345074
26,2/17/17,3/3/17,33.5,CSCO,Call,0.4,0.09986,33.740002,0.038329911,0.098379579,0.001480421
27,2/17/17,3/3/17,34,CSCO,Call,0.16,0.10001,33.740002,0.038329911,0.101272721,-0.001262721
28,2/17/17,2/24/17,837.5,GOOGL,Call,10.59,0.10022,846.549988,0.019164956,0.100494008,-0.000274008
29,2/17/17,3/3/17,122.5,TLT,Call,0.27,0.10072,120.32,0.038329911,0.105381465,-0.004661465
30,2/17/17,2/24/17,835,GOOG,Call,1.75,0.10106,828.070007,0.019164956,0.094560999,0.006499001
31,2/17/17,2/24/17,122,TLT,Call,0.19,0.1014,120.32,0.019164956,0.111379355,-0.009979355
32,2/17/17,3/3/17,121,TLT,Call,0.72,0.10152,120.32,0.038329911,0.107689404,-0.006169404
33,2/17/17,2/24/17,825,GOOGL,Call,21.8,0.10159,846.549988,0.019164956,0.103801946,-0.002211946
34,2/17/17,6/16/17,20,ACAT,Call,0.05,0.10189,18.549999,0.325804244,0.099436097,0.002453903
35,2/17/17,3/10/17,122,TLT,Call,0.59,0.102,120.32,0.057494867,0.1072829,-0.0052829
36,2/17/17,3/10/17,33.5,CSCO,Call,0.48,0.10208,33.740002,0.057494867,0.105966469,-0.003886469
37,2/17/17,2/24/17,121,TLT,Call,0.43,0.10208,120.32,0.019164956,0.107308872,-0.005228872
38,2/17/17,3/3/17,121.5,TLT,Call,0.54,0.10208,120.32,0.038329911,0.107519234,-0.005439234
39,2/17/17,3/10/17,123.5,TLT,Call,0.29,0.10208,120.32,0.057494867,0.111489317,-0.009409317
40,2/17/17,3/17/17,62,ACWI,Put,0.5,0.10208,62.419998,0.076659822,0.101834252,0.000245748
41,2/17/17,2/24/17,817.5,GOOG,Put,1.35,0.1021,828.070007,0.019164956,0.109113741,-0.007013741
42,2/17/17,3/3/17,837.5,GOOG,Call,3.4,0.1021,828.070007,0.038329911,0.109044473,-0.006944473
43,2/17/17,3/3/17,847.5,GOOG,Call,1.37,0.1021,828.070007,0.038329911,0.111395664,-0.009295664
44,2/17/17,2/24/17,867.5,GOOGL,Call,0.24,0.1021,846.549988,0.019164956,0.104833755,-0.002733755
45,2/17/17,3/10/17,34.5,CSCO,Call,0.09,0.1021,33.740002,0.057494867,0.104752584,-0.002652584
46,2/17/17,3/24/17,34.5,CSCO,Call,0.18,0.1021,33.740002,0.095824778,0.108998477,-0.006898477
47,2/17/17,2/24/17,75.5,CMCSA,Call,0.38,0.1021,75.32,0.019164956,0.110754632,-0.008654632
48,2/17/17,2/24/17,36.5,INTC,Call,0.2,0.1021,36.48,0.019164956,0.103289744,-0.001189744
49,2/17/17,6/16/17,54,SCZ,Call,0.75,0.1021,52.91,0.325804244,0.097381278,0.004718722
50,2/17/17,3/10/17,842.5,GOOGL,Call,10.5,0.10213,846.549988,0.057494867,0.101213392,0.000916608
51,2/17/17,3/3/17,840,GOOGL,Call,11.15,0.10214,846.549988,0.038329911,0.110993954,-0.008853954
52,2/17/17,2/24/17,850,GOOGL,Call,2.9,0.10235,846.549988,0.019164956,0.093490876,0.008859124
53,2/17/17,2/24/17,35.5,INTC,Call,0.99,0.10253,36.48,0.019164956,0.10646209,-0.00393209
54,2/17/17,1/18/19,77.5,ADI,Call,8.2,0.10323,82.480003,1.916495551,0.109517314,-0.006287314
55,2/17/17,2/24/17,855,GOOGL,Call,1.45,0.1039,846.549988,0.019164956,0.09435715,0.00954285
56,2/17/17,3/24/17,815,GOOG,Call,18.93,0.10438,828.070007,0.095824778,0.107504505,-0.003124505
57,2/17/17,2/24/17,825,GOOG,Put,3.53,0.10511,828.070007,0.019164956,0.108352506,-0.003242506
58,2/17/17,2/24/17,119.5,TLT,Put,0.36,0.10537,120.32,0.019164956,0.105466294,-9.63E-05
59,2/17/17,9/15/17,123,TLT,Call,2.93,0.10606,120.32,0.574948665,0.108496083,-0.002436083
60,2/17/17,3/3/17,124,TLT,Call,0.12,0.10666,120.32,0.038329911,0.115626408,-0.008966408
61,2/17/17,4/21/17,22,ARR,Call,0.3,0.10719,21.709999,0.1724846,0.116529779,-0.009339779
62,2/17/17,3/3/17,827.5,GOOG,Call,7.11,0.10742,828.070007,0.038329911,0.104250126,0.003169874
63,2/17/17,3/10/17,121.5,TLT,Call,0.79,0.10772,120.32,0.057494867,0.110861185,-0.003141185
64,2/17/17,3/3/17,807.5,GOOG,Call,22,0.10804,828.070007,0.038329911,0.117190554,-0.009150554
65,2/17/17,2/24/17,822.5,GOOG,Put,2.8,0.10825,828.070007,0.019164956,0.112732846,-0.004482846
66,2/17/17,2/24/17,827.5,GOOG,Put,4.9,0.10994,828.070007,0.019164956,0.114147473,-0.004207473
67,2/17/17,3/3/17,20,AGNC,Call,0.02,0.11077,19.49,0.038329911,0.104079055,0.006690945
68,2/17/17,3/3/17,815,GOOG,Call,15.4,0.11137,828.070007,0.038329911,0.106758649,0.004611351
69,2/17/17,9/15/17,131,TLT,Call,1.12,0.11141,120.32,0.574948665,0.119262206,-0.007852206
70,2/17/17,9/15/17,124,TLT,Call,2.6,0.11192,120.32,0.574948665,0.109705551,0.002214449
71,2/17/17,2/24/17,88,EA,Put,1,0.11243,87.300003,0.019164956,0.122087426,-0.009657426
72,2/17/17,3/17/17,120,CTAS,Call,0.95,0.11273,118.610001,0.076659822,0.116049982,-0.003319982
73,2/17/17,2/24/17,842.5,AMZN,Call,7.15,0.11344,845.070007,0.019164956,0.122907691,-0.009467691
74,2/17/17,3/3/17,820,GOOG,Call,12,0.11345,828.070007,0.038329911,0.111037279,0.002412721
75,2/17/17,3/3/17,822.5,GOOG,Call,10.8,0.11345,828.070007,0.038329911,0.117841874,-0.004391874
76,2/17/17,2/24/17,820,GOOG,Put,2.13,0.11406,828.070007,0.019164956,0.114801321,-0.000741321
77,2/17/17,1/18/19,92.5,ADP,Call,10.85,0.11406,99.68,1.916495551,0.113259716,0.000800284
78,2/17/17,6/16/17,123,TLT,Call,2.2,0.11465,120.32,0.325804244,0.118967624,-0.004317624
79,2/17/17,6/16/17,122,TLT,Call,2.51,0.11515,120.32,0.325804244,0.115965954,-0.000815954
80,2/17/17,3/3/17,830,GOOG,Call,6.5,0.11531,828.070007,0.038329911,0.113547529,0.001762471
81,2/17/17,3/3/17,862.5,GOOGL,Call,1.99,0.11546,846.549988,0.038329911,0.10988959,0.00557041
82,2/17/17,7/21/17,7.5,DSCI,Call,0.05,0.11594,7,0.421629021,0.111212606,0.004727394
83,2/17/17,3/17/17,60,CBSH,Call,0.44,0.11602,59.119999,0.076659822,0.1210564,-0.0050364
84,2/17/17,3/10/17,830,GOOGL,Call,20.1,0.11607,846.549988,0.057494867,0.117500269,-0.001430269
85,2/17/17,2/24/17,727.5,ISRG,Call,3.8,0.11644,724.659973,0.019164956,0.126317315,-0.009877315
86,2/17/17,1/18/19,185,COST,Call,9.1,0.11666,175.860001,1.916495551,0.125642677,-0.008982677
87,2/17/17,2/24/17,122.5,TLT,Call,0.12,0.11666,120.32,0.019164956,0.113022872,0.003637128
88,2/17/17,3/17/17,124,TLT,Call,0.39,0.11666,120.32,0.076659822,0.117650674,-0.000990674
89,2/17/17,4/21/17,127,TLT,Call,0.42,0.11666,120.32,0.1724846,0.11729775,-0.00063775
90,2/17/17,5/19/17,127,TLT,Call,0.77,0.11666,120.32,0.249144422,0.120073432,-0.003413432
91,2/17/17,5/19/17,128,TLT,Call,0.52,0.11666,120.32,0.249144422,0.114137001,0.002522999
92,2/17/17,3/3/17,840,GOOG,Call,2.7,0.11668,828.070007,0.038329911,0.108744102,0.007935898
93,2/17/17,3/10/17,835,GOOG,Call,6.7,0.11668,828.070007,0.057494867,0.121708691,-0.005028691
94,2/17/17,3/10/17,842.5,GOOG,Call,3.56,0.11668,828.070007,0.057494867,0.111597787,0.005082213
95,2/17/17,3/10/17,847.5,GOOG,Call,2.7,0.11668,828.070007,0.057494867,0.116241598,0.000438402
96,2/17/17,3/17/17,830,GOOG,Call,10.6,0.11668,828.070007,0.076659822,0.124387903,-0.007707903
97,2/17/17,3/24/17,850,GOOG,Call,4.7,0.11668,828.070007,0.095824778,0.122180489,-0.005500489
98,2/17/17,2/24/17,835,GOOGL,Put,1.4,0.11668,846.549988,0.019164956,0.114291101,0.002388899
99,2/17/17,2/24/17,837.5,GOOGL,Put,1.8,0.11668,846.549988,0.019164956,0.110146725,0.006533275
100,2/17/17,3/3/17,867.5,GOOGL,Call,1.47,0.11668,846.549988,0.038329911,0.117261119,-0.000581119
101,2/17/17,3/10/17,867.5,GOOGL,Call,2.85,0.11668,846.549988,0.057494867,0.121519004,-0.004839004
102,2/17/17,3/17/17,850,GOOGL,Call,10.3,0.11668,846.549988,0.076659822,0.125928158,-0.009248158
103,2/17/17,3/24/17,842.5,GOOGL,Call,13.6,0.11668,846.549988,0.095824778,0.107735641,0.008944359
104,2/17/17,6/16/17,100,ACGL,Call,0.7,0.11668,94.019997,0.325804244,0.120301681,-0.003621681
105,2/17/17,2/24/17,33.5,CSCO,Put,0.12,0.11668,33.740002,0.019164956,0.118818222,-0.002138222
