,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
0,2017-02-17,2017-07-21,34.7999992,TBNK,Call,1.06,0.1325,33.549999,0.4216290212183436,0.17867950569780178,-0.04617950569780177
2,2017-02-17,2017-03-17,22.5,ARR,Call,0.08,0.13956,21.709999,0.07665982203969883,0.13742823772190704,0.002131762278092947
3,2017-02-17,2017-03-17,20.0,ARR,Put,0.2,0.32783,21.709999,0.07665982203969883,0.3362799110618663,-0.008449911061866267
6,2017-02-17,2017-04-21,21.0,ARR,Call,0.75,0.05176,21.709999,0.17248459958932238,0.060732113270206445,-0.008972113270206444
7,2017-02-17,2017-04-21,22.0,ARR,Call,0.3,0.10719000000000001,21.709999,0.17248459958932238,0.11652977926132835,-0.00933977926132834
8,2017-02-17,2017-04-21,23.0,ARR,Call,0.11,0.10207999999999999,21.709999,0.17248459958932238,0.13877268611395366,-0.03669268611395367
10,2017-02-17,2017-04-21,21.0,ARR,Put,0.5,0.24133000000000002,21.709999,0.17248459958932238,0.22989497585513263,0.011435024144867384
11,2017-02-17,2017-04-21,22.0,ARR,Put,0.83,0.21858000000000002,21.709999,0.17248459958932238,0.18957464453706152,0.029005355462938504
14,2017-02-17,2017-07-21,22.5,ARR,Call,0.4,0.09176000000000001,21.709999,0.4216290212183436,0.12424253356584913,-0.032482533565849125
23,2017-02-17,2017-03-17,12.5,RESI,Put,0.2,0.36816,13.31,0.07665982203969883,0.3556788192508985,0.012481180749101484
24,2017-02-17,2017-06-16,12.5,RESI,Call,1.2,0.21658000000000002,13.31,0.3258042436687201,0.24166436698578864,-0.025084366985788614
27,2017-02-17,2017-09-15,12.5,RESI,Put,1.1,0.34271,13.31,0.5749486652977412,0.38234160012507445,-0.03963160012507444
30,2017-02-17,2017-06-16,10.0,TEF,Call,0.4,0.17708,9.87,0.3258042436687201,0.2012203785852772,-0.024140378585277206
31,2017-02-17,2017-06-16,10.0,TEF,Put,0.75,0.31690999999999997,9.87,0.3258042436687201,0.3063687496614885,0.010541250338511443
35,2017-02-17,2017-03-17,175.0,MSG,Call,2.84,0.16835,175.300003,0.07665982203969883,0.13713502143218748,0.031214978567812524
36,2017-02-17,2017-03-17,180.0,MSG,Call,1.2,0.16687000000000002,175.300003,0.07665982203969883,0.1507055584079363,0.016164441592063705
37,2017-02-17,2017-03-17,185.0,MSG,Call,0.54,0.15875,175.300003,0.07665982203969883,0.16989057381579287,-0.011140573815792865
38,2017-02-17,2017-03-17,190.0,MSG,Call,0.2,0.16843,175.300003,0.07665982203969883,0.17866315210994899,-0.01023315210994899
39,2017-02-17,2017-03-17,160.0,MSG,Put,0.23,0.24996999999999997,175.300003,0.07665982203969883,0.20836762014369115,0.041602379856308824
40,2017-02-17,2017-03-17,165.0,MSG,Put,0.55,0.2183,175.300003,0.07665982203969883,0.19040385297557905,0.027896147024420948
41,2017-02-17,2017-03-17,170.0,MSG,Put,1.53,0.16965,175.300003,0.07665982203969883,0.18849498716008484,-0.018844987160084842
42,2017-02-17,2017-03-17,175.0,MSG,Put,2.6,0.16619,175.300003,0.07665982203969883,0.14371504286828085,0.022474957131719153
43,2017-02-17,2017-03-17,180.0,MSG,Put,6.45,0.1838,175.300003,0.07665982203969883,0.18761919513053826,-0.003819195130538272
48,2017-02-17,2017-05-19,180.0,MSG,Call,4.7,0.14608,175.300003,0.24914442162902123,0.18963893009640842,-0.04355893009640843
49,2017-02-17,2017-05-19,185.0,MSG,Call,3.1,0.1844,175.300003,0.24914442162902123,0.1901704178453666,-0.005770417845366582
50,2017-02-17,2017-05-19,190.0,MSG,Call,1.95,0.16969,175.300003,0.24914442162902123,0.1900236013898403,-0.020333601389840306
51,2017-02-17,2017-05-19,160.0,MSG,Put,1.95,0.24541999999999997,175.300003,0.24914442162902123,0.2159032742929422,0.029516725707057767
52,2017-02-17,2017-05-19,165.0,MSG,Put,2.8,0.18294000000000002,175.300003,0.24914442162902123,0.20098627435800254,-0.018046274358002518
53,2017-02-17,2017-05-19,170.0,MSG,Put,4.2,0.18729,175.300003,0.24914442162902123,0.19196258836018487,-0.0046725883601848595
54,2017-02-17,2017-05-19,175.0,MSG,Put,6.4,0.18516,175.300003,0.24914442162902123,0.19102260608633614,-0.005862606086336153
58,2017-02-17,2017-08-18,170.0,MSG,Call,11.6,0.14448,175.300003,0.49828884325804246,0.1737472695094776,-0.02926726950947761
59,2017-02-17,2017-08-18,175.0,MSG,Call,8.63,0.13246,175.300003,0.49828884325804246,0.16770995505794517,-0.035249955057945176
60,2017-02-17,2017-08-18,180.0,MSG,Call,7.55,0.15,175.300003,0.49828884325804246,0.19079369951214276,-0.04079369951214276
61,2017-02-17,2017-08-18,185.0,MSG,Call,6.37,0.15550999999999998,175.300003,0.49828884325804246,0.2042903764959202,-0.04878037649592021
62,2017-02-17,2017-08-18,190.0,MSG,Call,5.7,0.18969,175.300003,0.49828884325804246,0.22290483153483465,-0.03321483153483465
63,2017-02-17,2017-08-18,160.0,MSG,Put,4.01,0.19779000000000002,175.300003,0.49828884325804246,0.21137122945219844,-0.013581229452198418
64,2017-02-17,2017-08-18,170.0,MSG,Put,7.2,0.19569,175.300003,0.49828884325804246,0.20192984746245302,-0.006239847462453013
