,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference,Var
2,2017-02-17,2017-03-17,22.5,ARR,Call,0.08,0.13956,21.709999,0.07665982203969883,0.1374282377073562,0.0021317622926437796,0.0152748802854957
3,2017-02-17,2017-03-17,20.0,ARR,Put,0.2,0.32783,21.709999,0.07665982203969883,0.33627991109841016,-0.008449911098410146,0.025775283221212655
43,2017-02-17,2017-03-17,180.0,MSG,Put,6.45,0.1838,175.300003,0.07665982203969883,0.18761919509761094,-0.0038191950976109446,0.020779081053378372
49,2017-02-17,2017-05-19,185.0,MSG,Call,3.1,0.1844,175.300003,0.24914442162902123,0.19017041790856845,-0.005770417908568443,0.03129293876664014
53,2017-02-17,2017-05-19,170.0,MSG,Put,4.2,0.18729,175.300003,0.24914442162902123,0.19196258829786692,-0.004672588297866903,0.024948413144678855
54,2017-02-17,2017-05-19,175.0,MSG,Put,6.4,0.18516,175.300003,0.24914442162902123,0.19102260606415894,-0.005862606064158948,0.0316623788299792
64,2017-02-17,2017-08-18,170.0,MSG,Put,7.2,0.19569,175.300003,0.49828884325804246,0.2019298474108183,-0.006239847410818289,0.03188638873124988
68,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201,0.3485907278246062,-0.007270727824606249,0.021301792524921627
69,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412,0.3438056799933043,-0.002585679993304335,0.007577750405323062
80,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883,0.5571902334913316,0.005929766508668388,0.01053020050551994
87,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201,0.4798959833659748,0.004864016634025248,0.010033865488128657
88,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201,0.46648352552071515,-0.008563525520715154,0.01870092051169452
101,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436,0.4242724309318781,-0.006622430931878087,0.01585641310158766
136,2017-02-17,2017-03-17,120.0,ABMD,Call,1.75,0.25075,116.57,0.07665982203969883,0.24179493449780506,0.008955065502194909,0.03571312264085707
163,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201,0.3485907278246062,-0.007270727824606249,0.021301792524921627
164,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412,0.3438056799933043,-0.002585679993304335,0.007577750405323062
167,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34131999999999996,10.0,0.3258042436687201,0.3485907278246062,-0.007270727824606249,0.021301792524921627
168,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34121999999999997,10.0,0.5749486652977412,0.3438056799933043,-0.002585679993304335,0.007577750405323062
179,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883,0.5571902334913316,0.005929766508668388,0.01053020050551994
186,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201,0.4798959833659748,0.004864016634025248,0.010033865488128657
187,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201,0.46648352552071515,-0.008563525520715154,0.01870092051169452
200,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436,0.4242724309318781,-0.006622430931878087,0.01585641310158766
260,2017-02-17,2017-06-16,2.5,AXAS,Call,0.25,0.62259,2.31,0.3258042436687201,0.6152753085038489,0.007314691496151049,0.011748809804447629
265,2017-02-17,2017-03-17,65.0,ACIA,Call,5.8,0.6907300000000001,66.58000200000001,0.07665982203969883,0.683203102723384,0.00752689727661604,0.010897018048464725
295,2017-02-17,2017-03-17,45.0,ACHC,Call,1.1,0.43483,42.59,0.07665982203969883,0.4306766847339409,0.00415331526605911,0.009551583989281121
303,2017-02-17,2017-09-15,45.0,ACHC,Call,3.4,0.33542,42.59,0.5749486652977412,0.33721230503520055,-0.0017923050352005587,0.005343465014610216
315,2017-02-17,2017-02-24,40.0,ACAD,Call,1.0,0.6057899999999999,39.279999,0.019164955509924708,0.6065725123770395,-0.0007825123770395237,0.0012917221760668281
339,2017-02-17,2017-08-18,25.0,AXDX,Put,7.09,0.93042,23.15,0.49828884325804246,0.9256156206759169,0.0048043793240831745,0.005163667294429585
351,2017-02-17,2017-06-16,6.0,ARAY,Call,0.4,0.46329,5.55,0.3258042436687201,0.45383403079070617,0.009455969209293813,0.02041047553215872
369,2017-02-17,2017-09-15,22.5,AKAO,Put,5.2,0.79545,22.68,0.5749486652977412,0.7915723606701343,0.003877639329865734,0.004874774441970877
411,2017-02-17,2017-07-21,26.0,ACOR,Call,5.7,0.9210799999999999,25.299999,0.4216290212183436,0.9200963767224705,0.000983623277529433,0.0010679021122263353
412,2017-02-17,2017-07-21,27.0,ACOR,Call,5.5,0.94027,25.299999,0.4216290212183436,0.9440587733437842,-0.0037887733437841353,0.004029452544252327
