,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,halley,halley_steps
0,2/17/17,3/17/17,95.0,GK,Put,0.8,0.04557,94.489998,0.076659822,0.050641515441182554,1.0
1,2/17/17,4/21/17,21.0,ARR,Call,0.75,0.05176,21.709999,0.1724846,0.06073211316797323,1.0
2,2/17/17,6/16/17,100.0,GK,Call,0.08,0.052079999999999994,94.489998,0.32580424399999997,0.06065299168012048,1.0
3,2/17/17,7/21/17,65.0,CYNO,Put,0.45,0.0608,66.25,0.421629021,0.05849055370121122,1.0
4,2/17/17,3/17/17,24.0,FV,Call,0.35,0.06596,24.26,0.076659822,0.06945867610591809,1.0
5,2/17/17,4/21/17,65.0,CYNO,Put,0.3,0.07098,66.25,0.1724846,0.07236778770445162,1.0
6,2/17/17,4/21/17,45.0,CLCD,Put,0.1,0.07193,46.400002,0.1724846,0.07138130371812021,1.0
7,2/17/17,3/24/17,119.0,TLT,Call,1.95,0.08252000000000001,120.32,0.09582477800000001,0.07652991107945878,1.0
8,2/17/17,9/15/17,95.0,GK,Call,2.43,0.08281000000000001,94.489998,0.574948665,0.08900963324181035,1.0
9,2/17/17,8/18/17,30.0,BUSE,Call,1.4,0.08406,31.059998999999998,0.498288843,0.08027218650797746,1.0
10,2/17/17,3/3/17,33.0,CSCO,Call,0.77,0.08481,33.740002000000004,0.038329911,0.08563722763036553,1.0
11,2/17/17,1/18/19,75.0,ADI,Call,9.2,0.08506,82.480003,1.916495551,0.08712931843359646,1.0
12,2/17/17,3/10/17,118.0,TLT,Call,2.52,0.08514,120.32,0.057494867000000005,0.07792933057867081,1.0
13,2/17/17,2/24/17,820.0,GOOG,Call,9.5,0.0874,828.070007,0.019164956,0.09308744735670135,1.0
14,2/17/17,2/24/17,845.0,GOOGL,Call,5.1,0.0879,846.5499880000001,0.019164956,0.09066104454354366,1.0
15,2/17/17,2/24/17,835.0,GOOGL,Call,12.2,0.0884,846.5499880000001,0.019164956,0.08442242766785144,1.0
16,2/17/17,2/24/17,857.5,GOOGL,Call,0.97,0.08879,846.5499880000001,0.019164956,0.09437882632534839,1.0
17,2/17/17,2/24/17,33.5,CSCO,Call,0.31,0.09045,33.740002000000004,0.019164956,0.0860742230404515,1.0
18,2/17/17,4/21/17,119.0,TLT,Call,2.75,0.09319,120.32,0.1724846,0.09875876611052758,1.0
19,2/17/17,3/3/17,120.0,TLT,Call,1.17,0.09602999999999999,120.32,0.038329911,0.10539733064730071,1.0
20,2/17/17,2/24/17,34.0,CSCO,Call,0.08,0.09617,33.740002000000004,0.019164956,0.0962260681364362,1.0
21,2/17/17,2/24/17,842.5,GOOG,Call,0.51,0.09636,828.070007,0.019164956,0.0958380453311599,1.0
22,2/17/17,6/16/17,21.0,AGNC,Call,0.07,0.09882,19.49,0.32580424399999997,0.10702773839348387,1.0
23,2/17/17,2/24/17,840.0,GOOGL,Call,8.31,0.09887,846.5499880000001,0.019164956,0.08987918552092031,1.0
24,2/17/17,3/3/17,122.0,TLT,Call,0.38,0.0993,120.32,0.038329911,0.10536167114212712,1.0
25,2/17/17,3/10/17,120.0,TLT,Call,1.39,0.09946,120.32,0.057494867000000005,0.10480507341455755,1.0
26,2/17/17,3/3/17,33.5,CSCO,Call,0.4,0.09986,33.740002000000004,0.038329911,0.09837957948942214,1.0
27,2/17/17,3/3/17,34.0,CSCO,Call,0.16,0.10001,33.740002000000004,0.038329911,0.1012727214070031,1.0
28,2/17/17,2/24/17,837.5,GOOGL,Call,10.59,0.10022,846.5499880000001,0.019164956,0.100494006891788,1.0
29,2/17/17,3/3/17,122.5,TLT,Call,0.27,0.10072,120.32,0.038329911,0.10538146522783959,1.0
30,2/17/17,2/24/17,835.0,GOOG,Call,1.75,0.10106,828.070007,0.019164956,0.09456099775209405,1.0
31,2/17/17,2/24/17,122.0,TLT,Call,0.19,0.1014,120.32,0.019164956,0.11137935399796482,1.0
32,2/17/17,3/3/17,121.0,TLT,Call,0.72,0.10152,120.32,0.038329911,0.10768940413868595,1.0
33,2/17/17,2/24/17,825.0,GOOGL,Call,21.8,0.10159,846.5499880000001,0.019164956,0.10380194467408174,1.0
34,2/17/17,6/16/17,20.0,ACAT,Call,0.05,0.10189,18.549999,0.32580424399999997,0.0994360965634141,1.0
35,2/17/17,3/10/17,122.0,TLT,Call,0.59,0.102,120.32,0.057494867000000005,0.10728289968324858,1.0
36,2/17/17,3/10/17,33.5,CSCO,Call,0.48,0.10207999999999999,33.740002000000004,0.057494867000000005,0.1059664689898114,1.0
37,2/17/17,2/24/17,121.0,TLT,Call,0.43,0.10207999999999999,120.32,0.019164956,0.10730887059262631,1.0
38,2/17/17,3/3/17,121.5,TLT,Call,0.54,0.10207999999999999,120.32,0.038329911,0.10751923385834287,1.0
39,2/17/17,3/10/17,123.5,TLT,Call,0.29,0.10207999999999999,120.32,0.057494867000000005,0.11148931619779658,1.0
40,2/17/17,3/17/17,62.0,ACWI,Put,0.5,0.10207999999999999,62.419998,0.076659822,0.10183425239477449,1.0
41,2/17/17,2/24/17,817.5,GOOG,Put,1.35,0.1021,828.070007,0.019164956,0.1091137396965265,1.0
42,2/17/17,3/3/17,837.5,GOOG,Call,3.4,0.1021,828.070007,0.038329911,0.10904447261876273,1.0
43,2/17/17,3/3/17,847.5,GOOG,Call,1.37,0.1021,828.070007,0.038329911,0.1113956638917153,1.0
44,2/17/17,2/24/17,867.5,GOOGL,Call,0.24,0.1021,846.5499880000001,0.019164956,0.1048337535287416,1.0
45,2/17/17,3/10/17,34.5,CSCO,Call,0.09,0.1021,33.740002000000004,0.057494867000000005,0.10475258360820688,1.0
46,2/17/17,3/24/17,34.5,CSCO,Call,0.18,0.1021,33.740002000000004,0.09582477800000001,0.10899847657291209,1.0
47,2/17/17,2/24/17,75.5,CMCSA,Call,0.38,0.1021,75.32,0.019164956,0.11075463015847752,1.0
48,2/17/17,2/24/17,36.5,INTC,Call,0.2,0.1021,36.48,0.019164956,0.1032897426043221,1.0
49,2/17/17,6/16/17,54.0,SCZ,Call,0.75,0.1021,52.91,0.32580424399999997,0.0973812779625298,1.0
50,2/17/17,3/10/17,842.5,GOOGL,Call,10.5,0.10213,846.5499880000001,0.057494867000000005,0.1012133913503588,1.0
51,2/17/17,3/3/17,840.0,GOOGL,Call,11.15,0.10214,846.5499880000001,0.038329911,0.11099395381157229,1.0
52,2/17/17,2/24/17,850.0,GOOGL,Call,2.9,0.10235,846.5499880000001,0.019164956,0.09349087489282079,1.0
53,2/17/17,2/24/17,35.5,INTC,Call,0.99,0.10253,36.48,0.019164956,0.10646208854462084,1.0
54,2/17/17,1/18/19,77.5,ADI,Call,8.2,0.10323,82.480003,1.916495551,0.10951731393063753,1.0
