ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,IV
"Dec 16, 2016",7.5,SVVC,Call,0.70,,0.50,1.30,0,39,0.81968,0.26114,0.00129,-0.02027,0.003,0.92542
"Dec 16, 2016",7.5,SVVC,Put,0.25,,,0.15,0,238,-0.24839,0.21635,-0.00042,-0.03527,0.0,1.12519
"Jan 20, 2017",7.5,SVVC,Call,0.40,,0.55,1.00,0,8,1.0,0.0,0.00878,-0.0011,2e-05,0.1325
"Mar 17, 2017",7.5,SVVC,Call,0.50,,0.60,1.10,0,152,0.99422,0.04122,0.01991,-0.00112,0.00064,0.1489
"Mar 17, 2017",7.5,SVVC,Put,0.50,,,0.55,0,2,-0.20337,0.23333,-0.00424,-0.00199,0.01122,0.27086
"Jun 16, 2017",7.5,SVVC,Call,1.05,,0.60,1.05,0,57,0.99989,0.00148,0.03795,-0.00108,0.00014,0.08281
"Dec 09, 2016",11.5,CSIQ,Call,1.15,0.05,1.05,1.35,25,453,0.83305,0.22694,0.00021,-0.19115,0.0,1.89269
"Dec 09, 2016",12.0,CSIQ,Call,0.75,-0.10,0.55,0.85,8,549,0.76467,0.43437,0.0002,-0.1661,0.0,1.143
"Dec 09, 2016",12.5,CSIQ,Call,0.25,-0.30,0.20,0.35,3,480,0.50678,0.73423,0.00014,-0.16797,0.00232,0.81989
"Dec 09, 2016",13.0,CSIQ,Call,0.05,-0.25,,0.10,66,292,0.21222,0.4987,6e-05,-0.11966,0.0,0.81199
"Dec 09, 2016",13.5,CSIQ,Call,0.15,,,0.25,0,150,0.18379,0.2646,5e-05,-0.1828,0.0,1.51297
"Dec 16, 2016",11.5,CSIQ,Call,1.28,-0.02,1.20,1.35,9,170,0.77371,0.20425,0.00181,-0.03713,0.00452,0.81006
"Dec 16, 2016",12.0,CSIQ,Call,0.78,-0.07,0.75,0.90,17,1647,0.66906,0.27487,0.00162,-0.03638,0.00694,0.66746
"Dec 16, 2016",12.5,CSIQ,Call,0.52,0.17,0.45,0.55,15,126,0.52133,0.35933,0.0013,-0.03721,0.00711,0.63907
"Dec 16, 2016",13.0,CSIQ,Call,0.30,-0.06,0.20,0.30,72,622,0.35649,0.3277,0.0009,-0.03203,0.00729,0.6074
"Dec 16, 2016",13.5,CSIQ,Call,0.20,,0.10,0.20,0,281,0.22474,0.26061,0.00057,-0.02641,0.00497,0.63336
"Dec 23, 2016",11.5,CSIQ,Call,0.70,,1.25,1.50,0,21,0.73265,0.17124,0.00316,-0.02664,0.0093,0.69524
"Dec 23, 2016",12.0,CSIQ,Call,0.95,-0.27,0.85,1.05,15,206,0.65573,0.24248,0.00296,-0.02283,0.00952,0.61773
"Dec 23, 2016",12.5,CSIQ,Call,0.85,,0.55,0.75,0,5,0.52738,0.30653,0.00245,-0.02334,0.00978,0.55788
"Dec 23, 2016",13.0,CSIQ,Call,0.39,0.19,0.35,0.50,10,552,0.39776,0.26874,0.00186,-0.02218,0.01002,0.55726
"Dec 30, 2016",11.5,CSIQ,Call,1.20,,1.30,1.55,0,1522,0.71486,0.15385,0.00445,-0.0212,0.01126,0.64233
"Dec 30, 2016",12.0,CSIQ,Call,1.40,,0.95,1.15,0,2728,0.64192,0.2072,0.00418,-0.01891,0.01154,0.59093
