method,log_accuracy_sigma=0.30,log_accuracy_sigma=0.50,log_accuracy_sigma=0.70,log_accuracy_sigma=1.00,log_accuracy_sigma=1.50,log_accuracy_sigma=1.70,log_accuracy_sigma=2.00,MSE_sigma=0.30,MSE_sigma=0.50,MSE_sigma=0.70,MSE_sigma=1.00,MSE_sigma=1.50,MSE_sigma=1.70,MSE_sigma=2.00,running_time_sigma=0.30,running_time_sigma=0.50,running_time_sigma=0.70,running_time_sigma=1.00,running_time_sigma=1.50,running_time_sigma=1.70,running_time_sigma=2.00
brentq,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,4.962,4.7,5.353,5.364,5.421,5.092,5.337
brenth,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,4.911,4.629,5.241,5.029,5.361,5.048,5.076
ridder,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,6.786,7.781,7.36,7.394,7.468,6.878,6.97
scipy_newton,4.149978136,4.112759479,4.125533719,4.139350706,4.122784126,4.179527367,4.116274659,5.85E+17,7.04E+23,7.80E+37,1.40E+19,7.82E+26,8.81E+31,6.69E+19,2.729,2.982,3.152,3.03,3.427,3.342,3.364
bisection,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,43.755,42.297,44.833,44.425,42.386,44.062,41.622
mullerBisection,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,29.837,29.363,31.806,30.644,31.604,30.862,30.783
newton,4.074877684,4.119030691,4.197569513,4.126677663,4.071597282,3.533860355,3.371820039,5.82E+198,5.81E+111,2.06E+42,1.55E+181,6.80E+19,6.54E+303,1.34E+47,3.566,3.587,3.946,3.639,3.337,3.182,3.003
halley,4.226468009,3.932856088,3.77350192,3.644566343,3.561883553,3.409329497,3.135998856,0.0008426,0.00104206,0.00167653,0.002811982,0.004907489,0.005869081,0.007530541,1.997,1.913,2.035,2.085,2.064,1.963,2.106
new_newton,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,23.31,23.046,23.744,24,24.127,23.976,23.645
new_halley,4.306460264,4.306460264,4.306460264,4.306460264,4.306460264,4.306460264,4.306460264,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,21.648,24.831,24.608,24.995,23.537,24.924,24.997
