,log_accuracy_sigma=0.50,log_accuracy_sigma=1.00,log_accuracy_sigma=1.50,MSE_sigma=0.50,MSE_sigma=1.00,MSE_sigma=1.50,log_mse_sigma=0.50,log_mse_sigma=1.00,log_mse_sigma=1.50,running_time_sigma=0.50,running_time_sigma=1.00,running_time_sigma=1.50,steps_sigma=0.50,steps_sigma=1.00,steps_sigma=1.50,efficiency_sigma=0.50,efficiency_sigma=1.00,efficiency_sigma=1.50
brentq,4.306460343457422,4.306460343457422,4.306460343457422,0.0010010167962805684,0.0010010167962805684,0.0010010167962805684,0.0009964040938847704,0.0009964040938847704,0.0009964040938847704,8.945575,8.894096000000001,8.922528,9.458619297537343,9.458619297537343,9.458619297537343,2.19942513726,2.19942513726,2.19942513726
brenth,4.3064603434742255,4.3064603434742255,4.3064603434742255,0.0010010167962830852,0.0010010167962830852,0.0010010167962830852,0.000996404093887232,0.000996404093887232,0.000996404093887232,9.04071,9.119852,9.019601,9.674606378683892,9.674606378683892,9.674606378683892,2.30489117337,2.30489117337,2.30489117337
ridder,4.306460342251945,4.306460342251945,4.306460342251945,0.0010010167962918846,0.0010010167962918846,0.0010010167962918846,0.0009964040938959008,0.0009964040938959008,0.0009964040938959008,11.96296,11.882564,11.895489000000001,6.9132014533710135,6.9132014533710135,6.9132014533710135,2.48739532848,2.48739532848,2.48739532848
scipy_newton,4.112759479257583,4.139350705548601,4.12278412618215,7.042729502119726e+23,1.4037381741836229e+19,7.815299266996094e+26,0.3448566107315191,0.29097158679786006,0.324324812351193,5.502775000000001,5.674083,5.918399,0.0,0.0,0.0,inf,inf,inf
bisection,2.6460075578000573,2.6460075578000573,2.6460075578000573,0.014361766914413246,0.014361766914413246,0.014361766914413246,0.01406174426168442,0.01406174426168442,0.01406174426168442,7.977428000000001,7.986547000000001,7.943106,1.1929753734356077,1.1929753734356077,1.1929753734356077,2.10952147992,2.10952147992,2.10952147992
mullerBisection,4.304322556537183,4.304322556537183,4.304322556537183,0.0010370763214600997,0.0010370763214600997,0.0010370763214600997,0.0010315146504761901,0.0010315146504761901,0.0010315146504761901,38.435488,38.164389,38.235643,5.04925312878482,5.04925312878482,5.04925312878482,3.66736300998,3.66736300998,3.66736300998
newton,4.1198851464103425,4.126677685552597,4.07301030456044,5.817173340170979e+111,1.5542096141860772e+181,6.801545655151298e+19,0.3370631381217798,0.42039623338614046,0.08395202256501863,4.878091,4.932241,4.991191000000001,9.754541784416633,8.438837303189342,18.07347597900686,inf,inf,inf
halley,3.93285608816185,3.6445663425013977,3.5618835533742286,0.0010420602571758635,0.00281198220430049,0.004907489477996447,0.0010406315302147588,0.002797125119271309,0.004859864848087171,4.333757,4.306961,4.308048,13.726281792490916,8.477997577714978,4.844570044408559,1.61111591786,1.61396999228,1.61735562421
new_newton,3.198930181671606,3.198930181671606,3.198930181671606,inf,inf,inf,inf,inf,inf,6.572873,6.530535,6.572794,16.148970528865565,16.148970528865565,16.148970528865565,inf,inf,inf
new_halley,4.343309730235975,4.343309730235975,4.343309730235975,0.0007038901277286552,0.0007038901277286552,0.0007038901277286552,0.0007029130737513664,0.0007029130737513664,0.0007029130737513664,7.646013000000001,7.7082120000000005,7.651048,16.552280985062577,16.552280985062577,16.552280985062577,2.08090575531,2.08090575531,2.08090575531
halleyMomentum,3.94778333213198,3.94778333213198,3.94778333213198,0.0014189538773910152,0.0014189538773910152,0.0014189538773910152,0.00141428687280622,0.00141428687280622,0.00141428687280622,8.273430000000001,8.260429,8.289419,10.092854259184497,10.092854259184497,10.092854259184497,2.2003445507,2.2003445507,2.2003445507
