,log_accuracy_sigma=0.23,MSE_sigma=0.23,log_mse_sigma=0.23,running_time_sigma=0.23,steps_sigma=0.23,efficiency_sigma=0.23
brentq,4.306460343453583,0.0010010167962822458,0.0009964040938864097,9.920838,9.56237383932176,0.294337570251
brenth,4.306460343454988,0.0010010167962831744,0.0009964040938873144,9.856188000000001,9.786435203875657,0.291739683132
ridder,4.306460343244183,0.0010010167962926013,0.000996404093896623,13.539539000000001,7.159467097295115,0.330529900572
bisection,2.570884651013702,0.014655846231237352,0.014306778835967706,10.359204,2.7202260799354057,0.535385124213
mullerBisection,4.310311926336655,0.0010259312463225402,0.0010204700150587011,44.329166,6.599919257165927,0.342116165534
newton,4.207070547628592,9.678327518481966e+89,0.15369563990832336,5.334393,7.085991118288252,inf
halley,4.269910080588145,0.0011931690239541225,0.0011770464935282716,4.294872000000001,17.1324182478805,0.239491452082
new_newton,4.09510298029623,inf,inf,6.987986,7.882115462252725,inf
new_halley,4.047421009695897,0.0011314529485549588,0.001128326503393034,6.163671000000001,17.939039160274525,0.23593292043
halleyMomentum,3.9269451264367596,0.0015762856852233524,0.0015668933569278644,6.6998500000000005,1.8066209123940251,0.672726029231
