,log_accuracy_sigma=1.53,log_accuracy_sigma=0.20,log_accuracy_sigma=1.19,log_accuracy_sigma=1.61,MSE_sigma=1.53,MSE_sigma=0.20,MSE_sigma=1.19,MSE_sigma=1.61,log_mse_sigma=1.53,log_mse_sigma=0.20,log_mse_sigma=1.19,log_mse_sigma=1.61,running_time_sigma=1.53,running_time_sigma=0.20,running_time_sigma=1.19,running_time_sigma=1.61,steps_sigma=1.53,steps_sigma=0.20,steps_sigma=1.19,steps_sigma=1.61,efficiency_sigma=1.53,efficiency_sigma=0.20,efficiency_sigma=1.19,efficiency_sigma=1.61
brentq,5.627358153969221,5.627358153969221,5.627358153969221,5.627358153969221,3.239854649904204e-05,3.239854649904204e-05,3.239854649904204e-05,3.239854649904204e-05,3.239759957911506e-05,3.239759957911506e-05,3.239759957911506e-05,3.239759957911506e-05,9.931734,10.116262,10.369373000000001,10.395813,8.826402906742027,8.826402906742027,8.826402906742027,8.826402906742027,0.303346832674,0.303346832674,0.303346832674,0.303346832674
brenth,5.627358153949783,5.627358153949783,5.627358153949783,5.627358153949783,3.2398546499055066e-05,3.2398546499055066e-05,3.2398546499055066e-05,3.2398546499055066e-05,3.2397599579128515e-05,3.2397599579128515e-05,3.2397599579128515e-05,3.2397599579128515e-05,10.399525,10.588997,10.789772000000001,10.378491,9.047234557932983,9.047234557932983,9.047234557932983,9.047234557932983,0.300424916784,0.300424916784,0.300424916784,0.300424916784
ridder,5.627358153864364,5.627358153864364,5.627358153864364,5.627358153864364,3.2398546499281156e-05,3.2398546499281156e-05,3.2398546499281156e-05,3.2398546499281156e-05,3.239759957935414e-05,3.239759957935414e-05,3.239759957935414e-05,3.239759957935414e-05,13.151498,13.635893000000001,13.586735000000001,13.932904,6.8421477593863544,6.8421477593863544,6.8421477593863544,6.8421477593863544,0.336569724716,0.336569724716,0.336569724716,0.336569724716
bisection,5.62735814694022,5.62735814694022,5.62735814694022,5.62735814694022,3.239854650333598e-05,3.239854650333598e-05,3.239854650333598e-05,3.239854650333598e-05,3.239759958340919e-05,3.239759958340919e-05,3.239759958340919e-05,3.239759958340919e-05,145.005404,149.108741,156.790399,154.01271200000002,35.306015341138476,35.306015341138476,35.306015341138476,35.306015341138476,0.192976846797,0.192976846797,0.192976846797,0.192976846797
mullerBisection,5.627358154077612,5.627358154077612,5.627358154077612,5.627358154077612,3.239854649629186e-05,3.239854649629186e-05,3.239854649629186e-05,3.239854649629186e-05,3.239759957636389e-05,3.239759957636389e-05,3.239759957636389e-05,3.239759957636389e-05,43.916229,45.687617,44.651199000000005,46.230085,7.070649979814291,7.070649979814291,7.070649979814291,7.070649979814291,0.331940592223,0.331940592223,0.331940592223,0.331940592223
newton,5.4159786281196425,5.605363616933629,5.598124691760915,5.3304607065350735,0.06593286914345146,0.00042604339353294026,0.005665825518150836,0.09128511741394638,0.03493329432665593,0.0004064373142739803,0.0037633511464922604,0.04820722187275208,5.926893000000001,5.39981,6.043702000000001,6.753344,114.10617682680662,25.234961647153813,17.16188938231732,235.2240613645539,0.156007428769,0.212250636269,0.240430265629,0.138962410817
new_newton,5.627358153815213,5.627358153815213,5.627358153815213,5.627358153815213,3.239854649975315e-05,3.239854649975315e-05,3.239854649975315e-05,3.239854649975315e-05,3.2397599579825345e-05,3.2397599579825345e-05,3.2397599579825345e-05,3.2397599579825345e-05,6.452396,6.652633000000001,6.760388000000001,7.288827,1.0,1.0,1.0,1.0,1.00003239907,1.00003239907,1.00003239907,1.00003239907
halley,5.627358153881354,5.62735815424086,5.627358153946013,5.627358153881744,3.2398546499770036e-05,3.239854649818258e-05,3.239854649890905e-05,3.2398546499156784e-05,3.2397599579841154e-05,3.2397599578254154e-05,3.2397599578979166e-05,3.2397599579228824e-05,7.711182000000001,7.120925000000001,8.017533,8.262965000000001,1.0,1.0,1.0,1.0,1.00003239907,1.00003239907,1.00003239907,1.00003239907
new_halley,5.627358154372374,5.627358154372374,5.627358154372374,5.627358154372374,3.239854649848588e-05,3.239854649848588e-05,3.239854649848588e-05,3.239854649848588e-05,3.239759957855622e-05,3.239759957855622e-05,3.239759957855622e-05,3.239759957855622e-05,7.461331,7.746020000000001,7.647416000000001,8.259162,1.0,1.0,1.0,1.0,1.00003239907,1.00003239907,1.00003239907,1.00003239907
halleyMomentum,3.9439224980343766,3.9439224980343766,3.9439224980343766,3.9439224980343766,0.000730938256891232,0.000730938256891232,0.000730938256891232,0.000730938256891232,0.0007301205492138814,0.0007301205492138814,0.0007301205492138814,0.0007301205492138814,21.620144,22.572769,22.774076,22.917791,1.0,1.0,1.0,1.0,1.00073120546,1.00073120546,1.00073120546,1.00073120546
