,log_accuracy_sigma=0.58,log_accuracy_sigma=1.56,log_accuracy_sigma=0.41,MSE_sigma=0.58,MSE_sigma=1.56,MSE_sigma=0.41,log_mse_sigma=0.58,log_mse_sigma=1.56,log_mse_sigma=0.41,running_time_sigma=0.58,running_time_sigma=1.56,running_time_sigma=0.41,steps_sigma=0.58,steps_sigma=1.56,steps_sigma=0.41,efficiency_sigma=0.58,efficiency_sigma=1.56,efficiency_sigma=0.41
brentq,5.702821712094412,5.702821712094412,5.702821712094412,2.8843045767792732e-05,2.8843045767792732e-05,2.8843045767792732e-05,2.8842262155728088e-05,2.8842262155728088e-05,2.8842262155728088e-05,9.163688,10.25816,8.939016,8.826067811536769,8.826067811536769,8.826067811536769,0.303350281282,0.303350281282,0.303350281282
brenth,5.702821712073325,5.702821712073325,5.702821712073325,2.8843045767793765e-05,2.8843045767793765e-05,2.8843045767793765e-05,2.8842262155729555e-05,2.8842262155729555e-05,2.8842262155729555e-05,9.355771,10.321609,9.051847,9.044914134742404,9.044914134742404,9.044914134742404,0.300453926359,0.300453926359,0.300453926359
ridder,5.70282171198135,5.70282171198135,5.70282171198135,2.8843045767836798e-05,2.8843045767836798e-05,2.8843045767836798e-05,2.8842262155772848e-05,2.8842262155772848e-05,2.8842262155772848e-05,12.332548000000001,13.567573000000001,11.999051000000001,6.837956847203875,6.837956847203875,6.837956847203875,0.336655907909,0.336655907909,0.336655907909
bisection,5.702821704428237,5.702821704428237,5.702821704428237,2.884304577193399e-05,2.884304577193399e-05,2.884304577193399e-05,2.8842262159869987e-05,2.8842262159869987e-05,2.8842262159869987e-05,144.094719,143.709955,136.630751,35.237340378687804,35.237340378687804,35.237340378687804,0.193077932884,0.193077932884,0.193077932884
mullerBisection,5.70282171220805,5.70282171220805,5.70282171220805,2.884304576540703e-05,2.884304576540703e-05,2.884304576540703e-05,2.8842262153341315e-05,2.8842262153341315e-05,2.8842262153341315e-05,44.62684,43.480954000000004,40.406649,7.052399823866138,7.052399823866138,7.052399823866138,0.332299658944,0.332299658944,0.332299658944
newton,5.7028217128883965,5.469863876538722,5.702821711522151,2.8843045767546885e-05,0.06483488747882879,2.884304576657043e-05,2.8842262155481103e-05,0.03464854353539925,2.8842262154506137e-05,5.188519,5.59984,5.007399,1.0,168.38573315719947,1.0,1.00002884346,0.144105692567,1.00002884346
new_newton,5.702821711918435,5.702821711918435,5.702821711918435,2.8843045769265783e-05,2.8843045769265783e-05,2.8843045769265783e-05,2.884226215720096e-05,2.884226215720096e-05,2.884226215720096e-05,6.2184550000000005,6.315359000000001,6.079522000000001,1.0,1.0,1.0,1.00002884346,1.00002884346,1.00002884346
halley,5.702821712309909,5.702821712018206,5.702821712085929,2.8843045768243567e-05,2.8843045768075346e-05,2.8843045766369188e-05,2.884226215617801e-05,2.8842262156010922e-05,2.8842262154302385e-05,6.951711,7.566946000000001,6.319024000000001,1.0,1.0,1.0,1.00002884346,1.00002884346,1.00002884346
new_halley,5.702821712534222,5.702821712534222,5.702821712534222,2.8843045767131694e-05,2.8843045767131694e-05,2.8843045767131694e-05,2.8842262155064783e-05,2.8842262155064783e-05,2.8842262155064783e-05,7.1887110000000005,7.291684,6.803045,1.0,1.0,1.0,1.00002884346,1.00002884346,1.00002884346
halleyMomentum,3.8618119902637167,3.8618119902637167,3.8618119902637167,0.0007791976223724592,0.0007791976223724592,0.0007791976223724592,0.0007783096101529461,0.0007783096101529461,0.0007783096101529461,21.491841,20.032668,20.383594000000002,1.0,1.0,1.0,1.00077950128,1.00077950128,1.00077950128
